,id,name,description,unit,status,calculationMethod,category,oldConvention,cfConvention,timeOffsets,sensorLevels,codeTable
177,max(wind_speed P1M),Maximum mean wind speed from main obs. (month),"Monthly maximum mean wind speed of hourly observations (00, 01, 02,..., 23 UTC). If hourly observations do not exist then the main observation times are used (06, 12, 18 UTC and also 00 UTC where available).",m/s,CF-name,"{'baseName': 'wind_speed', 'method': 'max', 'period': 'P1M', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FF2X', 'FFX'], 'unit': 'm/s'}","{'standardName': 'wind_speed', 'cellMethod': 'time: maximum', 'unit': 'm s-1', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [2, 10]}",
178,max(wind_speed P3M),Maximum mean wind speed from main obs. (season),"Maximum mean wind speed of hourly observations (00, 01, 02,..., 23 UTC) for the season. If hourly observations do not exist then the main observation times are used (06, 12, 18 UTC and also 00 UTC where available).  A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",m/s,CF-name,"{'baseName': 'wind_speed', 'method': 'max', 'period': 'P3M', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FFX'], 'unit': 'm/s'}","{'standardName': 'wind_speed', 'cellMethod': 'time: maximum', 'unit': 'm/s', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [2, 10]}",
179,max(wind_speed PT10M),Maximum mean wind speed (10 min),Max Wind Speed last 3 hours (10 min mean),m/s,CF-name,"{'baseName': 'wind_speed', 'method': 'max', 'period': 'PT10M', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FX', 'X1FX', 'X2FX'], 'unit': 'm/s'}","{'standardName': 'wind_speed', 'cellMethod': 'time: maximum', 'unit': 'm s-1', 'version': '44'}",,"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
180,max(wind_speed PT1H),Maximum mean wind speed (1 h),Hourly maximum mean wind speed,m/s,CF-name,"{'baseName': 'wind_speed', 'method': 'max', 'period': 'PT1H', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FX2_1', 'FX4_1', 'FX5_1', 'FX8_1', 'FX_1', 'X1FX', 'X1FX_1'], 'unit': 'm/s'}","{'standardName': 'wind_speed', 'cellMethod': 'time: maximum', 'unit': 'm s-1', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [2, 4, 8, 10]}",
181,max(wind_speed PT20M),Maximum mean wind speed (20 min),Highest 20 minutes average wind for the last hour (10 meters above ground),m/s,CF-name,"{'baseName': 'wind_speed', 'method': 'max', 'period': 'PT20M', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FX', 'FX_020', 'X1FX', 'X1FX_020', 'X2FX', 'X2FX_020'], 'unit': 'm/s'}","{'standardName': 'wind_speed', 'cellMethod': 'time: maximum', 'unit': 'm s-1', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
182,max(wind_speed PT3H),Maximum mean wind speed (3 h),Maximum mean wind speed for the last three hours,m/s,CF-name,"{'baseName': 'wind_speed', 'method': 'max', 'period': 'PT3H', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FX', 'FX_3'], 'unit': 'm/s'}","{'standardName': 'wind_speed', 'cellMethod': 'time: maximum', 'unit': 'm s-1', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
183,max(wind_speed PT6H),Maximum mean wind speed (6 h),Maximum mean wind speed for the last six hours,m/s,CF-name,"{'baseName': 'wind_speed', 'method': 'max', 'period': 'PT6H', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FX_6'], 'unit': 'm/s'}","{'standardName': 'wind_speed', 'cellMethod': 'time: maximum', 'unit': 'm s-1', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
184,max(wind_speed),Maximum mean wind speed since last observation,Highest average wind since the last main observation. ,m s-1,CF-name,"{'baseName': 'wind_speed', 'method': 'max', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FX', 'X1FX', 'X2FX'], 'unit': 'm s-1'}","{'standardName': 'wind_speed', 'cellMethod': 'time: maximum', 'unit': 'm s-1', 'version': '44'}",{'values': ['PT0H']},,
185,max(wind_speed_of_gust P1D),Maximum wind gust (24 h),Daily maximum wind gust,m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'max', 'period': 'P1D', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FGX'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: maximum', 'unit': 'm s-1', 'version': '44'}",{'values': ['PT18H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
186,max(wind_speed_of_gust P1M),Maximum wind gust (month),Monthly maximum wind gust,m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'max', 'period': 'P1M', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FGX'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: maximum', 'unit': 'm s-1', 'version': '44'}",{'values': ['PT18H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
187,max(wind_speed_of_gust P3M),Maximum wind gust (season),"Seasonal maximum wind gust. A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'max', 'period': 'P3M', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FGX'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: maximum', 'unit': 'm/s', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
188,max(wind_speed_of_gust PT10M),Maximum wind gust (10 min),Maximum wind gust for the last ten minutes,m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'max', 'period': 'PT10M', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FG3_010', 'FG_010', 'X1FG_010', 'X2FG_010'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: maximum', 'unit': 'm s-1', 'version': '44'}",,"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [3, 10]}",
189,max(wind_speed_of_gust PT1H),Maximum wind gust (1 h),Hourly maximum wind gust,m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'max', 'period': 'PT1H', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FG2_1', 'FG4_1', 'FG8_1', 'FG_1', 'X1FG_1'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: maximum', 'unit': 'm s-1', 'version': '44'}",,"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [2, 4, 8, 10]}",
190,max(wind_speed_of_gust PT1M),Maximum gust last minute,"Wind speed, maximum 3 sec gust last minute",m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'max', 'period': 'PT1M', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FG_01'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: maximum', 'unit': 'm/s', 'version': '44'}",,,
191,max(wind_speed_of_gust PT20M),Maximum wind gust (20 min),Maximum wind gust for the last twenty minutes,m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'max', 'period': 'PT20M', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FG_010', 'FG_020', 'X1FG_020', 'X2FG_010', 'X2FG_020'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: maximum', 'unit': 'm s-1', 'version': '44'}",,"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
192,max(wind_speed_of_gust PT2M),Maximum gust last 2 minutes,"Wind speed, maximum 3 sec gust last 2 minutes",m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'max', 'period': 'PT2M', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FG_02'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: maximum', 'unit': 'm/s', 'version': '44'}",,,
193,max(wind_speed_of_gust PT6H),Maximum wind gust (6 h),6 hourly maximum wind gust,m/s,CF-name,"{'baseName': 'wind_speed_of_gust', 'method': 'max', 'period': 'PT6H', 'methodDescription': 'Maximum value observed or calculated in the given period'}",Wind,"{'elementCodes': ['FG', 'X1FG', 'X2FG'], 'unit': 'm/s'}","{'standardName': 'wind_speed_of_gust', 'cellMethod': 'time: maximum', 'unit': 'm/s', 'version': '64'}",,"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
194,max_wind_speed(wind_from_direction PT1H),Wind direction of maximum mean wind speed (1 h),Wind direction at maximum mean wind speed over the last hour,degrees,CF-name,"{'baseName': 'wind_from_direction', 'method': 'max_wind_speed', 'period': 'PT1H', 'methodDescription': 'Direction from where the maximum wind speed came from in the given period.'}",Wind,"{'elementCodes': ['DX', 'DX2_1', 'DX4_1', 'DX8_1', 'DX_1', 'X1DX', 'X1DX_1'], 'unit': 'N/A'}","{'standardName': 'wind_from_direction', 'cellMethod': 'time: maximum (meaning, the corresponding vector to the maximum value of the vector over a time period)', 'unit': 'degree', 'version': '44'}",,"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [2, 4, 8, 10]}",
195,max_wind_speed(wind_from_direction PT3H),Wind direction of maximum mean wind speed (3 h),Wind direction at maximum mean wind speed over the last three hours,degrees,CF-name,"{'baseName': 'wind_from_direction', 'method': 'max_wind_speed', 'period': 'PT3H', 'methodDescription': 'Direction from where the maximum wind speed came from in the given period.'}",Wind,"{'elementCodes': ['DX_3'], 'unit': 'degrees'}","{'standardName': 'wind_from_direction', 'cellMethod': 'time: maximum (meaning, the corresponding vector to the maximum value of the vector over a time period)', 'unit': 'degree', 'version': '44'}",,"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
196,max_wind_speed(wind_from_direction PT6H),Wind direction of maximum mean wind speed (6 h),Wind direction at maximum mean wind speed over the last six hours. Connected to max(wind_speed PT6H),degree,CF-name,"{'baseName': 'wind_from_direction', 'method': 'max_wind_speed', 'period': 'PT6H', 'methodDescription': 'Direction from where the maximum wind speed came from in the given period.'}",Wind,"{'elementCodes': ['DX_6'], 'unit': 'degree'}","{'standardName': 'wind_from_direction', 'cellMethod': 'time: maximum (meaning, the corresponding vector to the maximum value of the vector over a time period)', 'unit': 'degree', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [10]}",
197,max_wind_speed(wind_from_direction_of_gust PT10M),Wind direction of maximum wind gust (10 min),Wind direction of maximum wind gust over the last ten minutes,degrees,Proposal,"{'baseName': 'wind_from_direction_of_gust', 'method': 'max_wind_speed', 'period': 'PT10M', 'methodDescription': 'Direction from where the maximum wind speed came from in the given period.'}",Wind,"{'elementCodes': ['DG3_010', 'DG_010', 'X1DG_010'], 'unit': 'degrees'}",,,"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [3, 10]}",
198,max_wind_speed(wind_from_direction_of_gust PT1H),Wind direction of maximum wind gust (1 h),Wind direction of maximum wind gust over the last hour,degrees,Proposal,"{'baseName': 'wind_from_direction_of_gust', 'method': 'max_wind_speed', 'period': 'PT1H', 'methodDescription': 'Direction from where the maximum wind speed came from in the given period.'}",Wind,"{'elementCodes': ['DG2_1', 'DG_1'], 'unit': 'degrees'}",,,"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 10, 'values': [2, 10]}",
199,mean(air_gap PT10M),Mean air gap (10 min),"Mean distance between the platform/sensor and the sea surface (air gap) per 10 min,",m,METNO-name,"{'baseName': 'air_gap', 'method': 'mean', 'period': 'PT10M', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Water level,"{'elementCodes': ['AGM'], 'unit': 'm'}",,{'values': ['PT0H']},,
200,mean(air_pressure_at_sea_level P1D),"Average air pressure, sea level (24 h)",Mean daily air pressure reduced to sea level. The parameter is usually called QFF in aviation and shows the measured air pressure reduced to mean sea level by applying actual atmospheric conditions.,hPa,CF-name,"{'baseName': 'air_pressure_at_sea_level', 'method': 'mean', 'period': 'P1D', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Air pressure,"{'elementCodes': ['PRM'], 'unit': 'hPa'}","{'standardName': 'air_pressure_at_sea_level', 'cellMethod': 'time: mean', 'unit': 'Pa', 'version': '44'}",{'values': ['PT0H']},,
201,mean(air_pressure_at_sea_level P1M),"Average air pressure, sea level (month)",Monthly mean air pressure reduced to sea level. The parameter is usually called QFF in aviation and shows the measured air pressure reduced to mean sea level by applying actual atmospheric conditions.,hPa,CF-name,"{'baseName': 'air_pressure_at_sea_level', 'method': 'mean', 'period': 'P1M', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Air pressure,"{'elementCodes': ['PRM'], 'unit': 'hPa'}","{'standardName': 'air_pressure_at_sea_level', 'cellMethod': 'time: mean', 'unit': 'Pa', 'version': '44'}",{'values': ['PT6H']},,
202,mean(air_pressure_at_sea_level P1Y),"Average air pressure, sea level (year)","Yearly mean air pressure reduced to sea level, mean value per year. The parameter is usually called QFF in aviation and shows the measured air pressure reduced to mean sea level by applying actual atmospheric conditions.",hPa,CF-name,"{'baseName': 'air_pressure_at_sea_level', 'method': 'mean', 'period': 'P1Y', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Air pressure,"{'elementCodes': ['PRM'], 'unit': 'hPa'}","{'standardName': 'air_pressure_at_sea_level', 'cellMethod': 'time: mean', 'unit': 'Pa', 'version': '44'}",{'values': ['PT6H']},,
203,mean(air_pressure_at_sea_level P3M),"Average air pressure, sea level (sesong)","Seasonal mean air pressure reduced to sea level. The parameter is usually called QFF in aviation and shows the measured air pressure reduced to mean sea level by applying actual atmospheric conditions. A season covers three months: Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). ",Pa,CF-name,"{'baseName': 'air_pressure_at_sea_level', 'method': 'mean', 'period': 'P3M', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Air pressure,"{'elementCodes': ['PRM'], 'unit': 'Pa'}","{'standardName': 'air_pressure_at_sea_level', 'cellMethod': 'time: mean', 'unit': 'Pa', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
204,mean(air_pressure_at_sea_level_normal P1M 1961_1990),"Normal for average air pressure, sea level 1961-1990 (month)",Monthly normal for air pressure reduced to sea level calculated for the normal period of 1961-1990. The parameter is usually called QFF in aviation and shows the measured air pressure reduced to mean sea level by applying actual atmospheric conditions.,hPa,METNO-name,"{'baseName': 'air_pressure_at_sea_level_normal', 'method': 'mean', 'period': 'P1M', 'addition': '1961_1990', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Air pressure,"{'elementCodes': ['PRM'], 'unit': 'hPa'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
205,mean(air_pressure_at_sea_level_normal P1M 1991_2020),"Normal for average air pressure, sea level 1991-2020 (month)",Monthly normal for air pressure reduced to sea level calculated for the normal period of 1991-2020. The parameter is usually called QFF in aviation and shows the measured air pressure reduced to mean sea level by applying actual atmospheric conditions.,hPa,METNO-name,"{'baseName': 'air_pressure_at_sea_level_normal', 'method': 'mean', 'period': 'P1M', 'addition': '1991_2020', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Air pressure,"{'elementCodes': ['PRM'], 'unit': 'hPa'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
206,mean(air_pressure_at_sea_level_normal P1Y 1961_1990),"Normal for average air pressure, sea level 1961-1990 (year)",Annual normal for air pressure reduced to sea level calculated for the normal period of 1961-1990. The parameter is usually called QFF in aviation and shows the measured air pressure reduced to mean sea level by applying actual atmospheric conditions.,hPa,METNO-name,"{'baseName': 'air_pressure_at_sea_level_normal', 'method': 'mean', 'period': 'P1Y', 'addition': '1961_1990', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Air pressure,"{'elementCodes': ['PRM'], 'unit': 'hPa'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
207,mean(air_pressure_at_sea_level_normal P1Y 1991_2020),"Normal for average air pressure, sea level 1991-2020 (year)",Annual normal for air pressure reduced to sea level calculated for the normal period of 1991-2020. The parameter is usually called QFF in aviation and shows the measured air pressure reduced to mean sea level by applying actual atmospheric conditions.,hPa,METNO-name,"{'baseName': 'air_pressure_at_sea_level_normal', 'method': 'mean', 'period': 'P1Y', 'addition': '1991_2020', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Air pressure,"{'elementCodes': ['PRM'], 'unit': 'hPa'}",,{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
208,mean(air_temperature P1D),Mean air temperature (24 h),"Daily mean temperature. The mean is an arithmetic mean of 24 hourly values (00-00 UTC), or a formula based mean value when only a limited number of observations is available (e.g. 06, 12, 18 UTC).",degC,CF-name,"{'baseName': 'air_temperature', 'method': 'mean', 'period': 'P1D', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAM', 'TAM0050_24', 'TAM10', 'TAM1_24', 'TAMRR', 'TAM_24', 'X1TAM'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: mean', 'unit': 'K', 'version': '44'}","{'values': ['PT0H', 'PT6H']}","{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [0.5, 1, 2, 10]}",
209,mean(air_temperature P1M),Mean air temperature (month),Monthly mean temperature. The mean is an arithmetic mean of daily values.,degC,CF-name,"{'baseName': 'air_temperature', 'method': 'mean', 'period': 'P1M', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAM', 'TAMRR'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: mean', 'unit': 'K', 'version': '44'}","{'values': ['PT0H', 'PT6H']}","{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
210,mean(air_temperature P1Y),Mean air temperature (year),Annual mean temperature. The mean is an arithmetic mean of daily values.,degC,CF-name,"{'baseName': 'air_temperature', 'method': 'mean', 'period': 'P1Y', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAM'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
211,mean(air_temperature P3M),Mean air temperature (season),"Seasonal mean air temperature. Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). The mean is an arithmetic mean of daily values.",degC,CF-name,"{'baseName': 'air_temperature', 'method': 'mean', 'period': 'P3M', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAM'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
212,mean(air_temperature P6M),Mean air temperature (winter or summer half-year),Mean air temperature during winter (October-March) or summer (April-September),degC,CF-name,"{'baseName': 'air_temperature', 'method': 'mean', 'period': 'P6M', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAM'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
213,mean(air_temperature PT1H),Mean air temperature (1 h),Hourly mean temperature. The mean is an arithmetic mean of minute values.,degC,CF-name,"{'baseName': 'air_temperature', 'method': 'mean', 'period': 'PT1H', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAM', 'X1TAM', 'X2TAM'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: mean', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
214,mean(air_temperature_anomaly P1M 1961_1990),"Mean air temperature, deviation from the 1961-1990 normal (month)","Monthly mean temperature as a deviation from the monthly temperature normal for the normal period 1961-1990. If the current month is incomplete, the monthly mean temperature is calculated as a deviation from the daily normal. The mean is an arithmetic average of daily means.",degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'mean', 'period': 'P1M', 'addition': '1961_1990', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAMA', 'TAMA_6190'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},,
215,mean(air_temperature_anomaly P1M 1971_2000),"Mean air temperature, deviation from 71-00 normal (month)",Monthly mean temperature as a deviation from 1971-2000 temperature normal. The mean is an arithmetic mean of daily values.,degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'mean', 'period': 'P1M', 'addition': '1971_2000', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAMA_7100'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean', 'unit': 'K', 'version': '44'}",,,
216,mean(air_temperature_anomaly P1M 1991_2020),"Mean air temperature, deviation from the 1991-2020 normal (month)","Monthly mean temperature as a deviation from the monthly temperature normal (1991-2020). If the current month is incomplete, the monthly mean temperature is calculated as a deviation from the daily normal. The mean is an arithmetic average of daily means.",degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'mean', 'period': 'P1M', 'addition': '1991_2020', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAMA_9120'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",,,
217,mean(air_temperature_anomaly P1Y 1961_1990),"Mean air temperature, deviation from the 1961-1990 normal (year)",Annual mean temperature as a deviation from the temperature normal for the normal period 1961-1990. The mean is an arithmetic mean of daily values.,degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'mean', 'period': 'P1Y', 'addition': '1961_1990', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAMA', 'TAMA_6190'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},,
218,mean(air_temperature_anomaly P1Y 1991_2020),"Mean air temperature, deviation from the 1991-2020 normal (year)",Annual mean temperature as a deviation from the temperature normal (1991-2020). The mean is an arithmetic mean of daily values.,degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'mean', 'period': 'P1Y', 'addition': '1991_2020', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAMA_9120'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",,,
219,mean(air_temperature_anomaly P3M 1961_1990),"Mean air temperature, deviation from the 1961-1990 normal (season)","Seasonal mean temperature as a deviation from the temperature normal for the normal period 1961-1990. Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). The mean is an arithmetic mean of daily values.",degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'mean', 'period': 'P3M', 'addition': '1961_1990', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAMA', 'TAMA_6190'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},,
220,mean(air_temperature_anomaly P3M 1991_2020),"Mean air temperature, deviation from the 1991-2020 normal (season)","Seasonal mean temperature as a deviation from the temperature normal (1991-2020). Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). The mean is an arithmetic mean of daily values.",degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'mean', 'period': 'P3M', 'addition': '1991_2020', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAMA_9120'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",,,
221,mean(air_temperature_anomaly P6M 1961_1990),"Mean air temperature, deviation from the 1961-1990 normal (summer or winter half-year)","Mean temperature during summer or winter as a deviation from the temperature normal for the normal period 1961-1990. Winter (October-March), summer (April-September). The mean is an arithmetic mean of daily values.",degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'mean', 'period': 'P6M', 'addition': '1961_1990', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAMA', 'TAMA_6190'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},,
222,mean(air_temperature_anomaly P6M 1991_2020),"Mean air temperature, deviation from the 1991-2020 normal (summer or winter half-year)","Mean temperature during summer or winter as a deviation from the temperature normal (1991-2020). Winter (October-March), summer (April-September). The mean is an arithmetic mean of daily values.",degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'mean', 'period': 'P6M', 'addition': '1991_2020', 'methodDescription': 'Standard arithmetic mean value for the given period'}",Temperature,"{'elementCodes': ['TAMA_9120'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",,,
