,id,name,description,unit,status,calculationMethod,category,oldConvention,cfConvention,timeOffsets,sensorLevels,codeTable
12,best_estimate_mean(air_temperature P3M),Homogenised mean temperature (season),"Homogenised seasonal mean temperature. Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). The mean is an arithmetic mean of daily values.",degC,CF-name,"{'baseName': 'air_temperature', 'method': 'best_estimate_mean', 'period': 'P3M', 'methodDescription': 'Best estimimate mean values are homogenized mean values. This means a high quality dataset of mean values with no kind of breaks in the timeseries.'}",Temperature,"{'elementCodes': ['TAM'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",{'values': ['PT18H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
13,best_estimate_mean(air_temperature P6M),Homogenised mean temperature (season),Homogenised mean temperature during winter (October-March) or summer (April-September). The mean is an arithmetic mean of daily values.,degC,CF-name,"{'baseName': 'air_temperature', 'method': 'best_estimate_mean', 'period': 'P6M', 'methodDescription': 'Best estimimate mean values are homogenized mean values. This means a high quality dataset of mean values with no kind of breaks in the timeseries.'}",Temperature,"{'elementCodes': ['TAM,P6M'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: mean (best estimate)', 'unit': 'degC', 'version': '75'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
14,best_estimate_mean(air_temperature_anomaly P1M 1961_1990),"Homogenised mean temperature, deviation from the 1961-1990 normal (month)",Homogenised monthly mean temperature as a deviation from the temperature normal for the normal period 1961-1990. The mean is an arithmetic mean of daily values.,degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'best_estimate_mean', 'period': 'P1M', 'addition': '1961_1990', 'methodDescription': 'Best estimimate mean values are homogenized mean values. This means a high quality dataset of mean values with no kind of breaks in the timeseries.'}",Temperature,"{'elementCodes': ['TAMA'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},,
15,best_estimate_mean(air_temperature_anomaly P1M 1991_2020),"Homogenised mean temperature, deviation from the 1991-2020 normal (month)",Homogenised monthly mean temperature as a deviation from the temperature normal (1991-2020). The mean is an arithmetic mean of daily values.,degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'best_estimate_mean', 'period': 'P1M', 'addition': '1991_2020', 'methodDescription': 'Best estimimate mean values are homogenized mean values. This means a high quality dataset of mean values with no kind of breaks in the timeseries.'}",Temperature,"{'elementCodes': ['TAMA'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",,,
16,best_estimate_mean(air_temperature_anomaly P1Y 1961_1990),"Homogenised mean temperature, deviation from the 1961-1990 normal (year)",Homogenised annual mean temperature as a deviation from the temperature normal for the normal period 1961-1990. The mean is an arithmetic mean of daily values.,degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'best_estimate_mean', 'period': 'P1Y', 'addition': '1961_1990', 'methodDescription': 'Best estimimate mean values are homogenized mean values. This means a high quality dataset of mean values with no kind of breaks in the timeseries.'}",Temperature,"{'elementCodes': ['TAMA'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},,
17,best_estimate_mean(air_temperature_anomaly P1Y 1991_2020),"Homogenised mean temperature, deviation from the 1991-2020 normal (year)",Homogenised annual mean temperature as a deviation from the temperature normal (1991-2020). The mean is an arithmetic mean of daily values.,degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'best_estimate_mean', 'period': 'P1Y', 'addition': '1991_2020', 'methodDescription': 'Best estimimate mean values are homogenized mean values. This means a high quality dataset of mean values with no kind of breaks in the timeseries.'}",Temperature,"{'elementCodes': ['TAMA'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",,,
18,best_estimate_mean(air_temperature_anomaly P3M 1961_1990),"Homogenised mean temperature, deviation from the 1961-1990 normal (season)","Homogenised seasonal mean temperature as a deviation from the temperature normal for the normal period 1961-1990. Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). The mean is an arithmetic mean of daily values.",degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'best_estimate_mean', 'period': 'P3M', 'addition': '1961_1990', 'methodDescription': 'Best estimimate mean values are homogenized mean values. This means a high quality dataset of mean values with no kind of breaks in the timeseries.'}",Temperature,"{'elementCodes': ['TAMA'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",{'values': ['PT0H']},,
19,best_estimate_mean(air_temperature_anomaly P3M 1991_2020),"Homogenised mean temperature, deviation from the 1991-2020 normal (season)","Homogenised seasonal mean temperature as a deviation from the temperature normal (1991-2020). Winter (Dec,Jan,Feb), spring (Mar,Apr,May), summer (Jun,Jul,Aug) and autumn (Sep,Oct,Nov). The mean is an arithmetic mean of daily values.",degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'best_estimate_mean', 'period': 'P3M', 'addition': '1991_2020', 'methodDescription': 'Best estimimate mean values are homogenized mean values. This means a high quality dataset of mean values with no kind of breaks in the timeseries.'}",Temperature,"{'elementCodes': ['TAMA'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'K', 'version': '44'}",,,
20,best_estimate_mean(air_temperature_anomaly P6M 1991_2020),"Homogenised mean temperature, deviation from the 1991-2020 normal (season)",Homogenised mean temperature during winter (October-March) or summer (April-September) as a deviation from the temperature normal (1991-2020). The mean is an arithmetic mean of daily values. ,degC,CF-name,"{'baseName': 'air_temperature_anomaly', 'method': 'best_estimate_mean', 'period': 'P6M', 'addition': '1991_2020', 'methodDescription': 'Best estimimate mean values are homogenized mean values. This means a high quality dataset of mean values with no kind of breaks in the timeseries.'}",Temperature,"{'elementCodes': ['TAM_9120,P6M'], 'unit': 'degC'}","{'standardName': 'air_temperature_anomaly', 'cellMethod': 'time: mean (best estimate)', 'unit': 'degC', 'version': '75'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
21,best_estimate_min(air_temperature P1D),Homogenised minimum air temperature (24 h),Homogenised daily temperature minimum.,degC,CF-name,"{'baseName': 'air_temperature', 'method': 'best_estimate_min', 'period': 'P1D'}",Temperature,"{'elementCodes': ['TAN'], 'unit': 'degC'}","{'standardName': 'air_temperature', 'cellMethod': 'time: min (best estimate)', 'unit': 'degC', 'version': '44'}",{'values': ['PT0H']},"{'levelType': 'height_above_ground', 'unit': 'm', 'defaultValue': 2, 'values': [2]}",
